species
Eluma caelata
Limnephilus subcentralis
Fagopyrum tataricum
Reseda alba
Ctenichneumon panzeri
Enicospilus combustus
Stelis phaeoptera
Aythya fuligula
Gallinula chloropus
Dolichurus bicolor
Polystichum luctuosum
Cynips longiventris
Phleum bertolonii
Pieris japonica
Gagea lutea
Lestes sponsa
Omalophora pectoralis
Ephemera vulgata
Anthus trivialis
Cochlicella acuta
Dolichopus pennatus
Lonicera sempervirens
Mycelis muralis
Macropis fulvipes
Cyllecoris histrionius
Adonis flammea
Plantago lanceolata
Sterna dougallii
Hedera maroccana
Acanalonia conica
Psallus wagneri
Weigelia floribunda
Prunella modularis
Rubus amiantinus
Bromus tectorum
Potamogeton crispus
Sirex juvencus
Digitaria aequiglumis
Euura mucronata
Culicoides riethi
Cirrospilus viticola
Heterarthrus nemoratus
Phalcoboenus megalopterus
Sisyrinchium striatum
Stratiotes aloides
Corydalis cava
Pulvinaria floccifera
Cirsium vulgare
Periclista lineolata
Dysphania ambrosioides
Carex elata
Cervus nippon
Ulopa reticulata
Andricus paradoxus
Galium spurium
Psallus assimilis
Streptopelia tranquebarica
Pyrrhura perlata
Rhogogaster chlorosoma
Kitaibelia vitifolia
Euphorbia dentata
Halyomorpha halys
Kelisia punctulum
Koenigia campanulata
Sphagnum auriculatum
Turdus torquatus
Grypocoris stysi
Panchlora nivea
Pseudoamblyteles homocerus
Lythrum virgatum
Atriplex hortensis
Crossocerus annulipes
Rubus gratus
Melanocoryphus albomaculatus
Fagus orientalis
Hedychridium caputaureum
Smicromyrme rufipes
Oenanthe isabellina
Ceraleptus lividus
Hylaeus hyalinatus
Cephalaria syriaca
Mentha arvensis
Oenanthe silaifolia
Nabis rugosus
Scirpus atrovirens
Fraxinus pennsylvanica
Pycnomerus sulcicollis
Bistorta amplexicaulis
Cardamine dentata
Liriodendron tulipifera
Numenius minutus
Pilosella piloselloides
Beraea pullata
Salmo trutta
Dendrothrips degeeri
Syngnathus acus
Claremontia uncta
Apechthis compunctor
Silene conica
Omalus aeneus
Venus verrucosa
Aphrophora major
Limnomysis benedeni
Erigeron floribundus
Rubus goniophorus
Anisocampium niponicum
Prunus incisa
Limicola falcinellus
Amandava amandava
Lonicera xylosteum
Phlox maculata
Lythrum portula
Aedes cinereus
Aedes koreicus
Aphis triglochinis
Psittacula krameri
Phaenolobus fulvicornis
Sagittaria sagittifolia
Rubus macrophyllus
Chrysis viridula
Dittrichia viscosa
Halesia carolina
Recurvirostra avosetta
Sciurus carolinensis
Geranium endressii
Arcyria pomiformis
Ichthyaetus ichthyaetus
Canis lupus
Geopelia cuneata
Rumex salicifolius
Fumaria densiflora
Aptesis nigrocincta
Scirpus georgianus
Fritillaria imperialis
Sisymbrium erysimoides
Dolichopus latilimbatus
Scutellaria columnae
Bryobilimbia hypnorum
Limnephilus binotatus
Metopolophium dirhodum
Amaranthus macrocarpus
Berytinus crassipes
Barbarea verna
Aesculus carnea
Alchemilla vulgaris
Astarte incerta
Lathyrus sylvestris
Psammophiliella muralis
Psallus ambiguus
Isocolus jaceae
Cinara juniperi
Piesma maculata
Agrothereutes abbreviatus
Poecile palustris
Megarhyssa perlata
Diacrisia sannio
Bombus terrestris
Tripleurospermum decipiens
Gagea villosa
Reynoutria compacta
Megalonotus chiragra
Iguana iguana
Conopodium majus
Agapornis personatus
Megophthalmus scanicus
Philoscia affinis
Phalaris canariensis
Ranunculus auricomus
Limnephilus marmoratus
Anthyllis vulneraria
Oxalis corniculata
Porzana pusilla
Veronicastrum virginicum
Falco vespertinus
Cotoneaster hjelmqvistii
Megabalanus tintinnabulum
Malva neglecta
Amblytylus nasutus
Phyllocolpa oblita
Clinopodium vulgare
Colias croceus
Ribautodelphax pungens
Campanula rapunculus
Athyrium filix-femina
Sternula albifrons
Petrobius brevistylis
Iris reticulata
Spiraea billardii
Cerithium vulgatum
Cladius grandis
Rubus vestitus
Neuroterus saliens
Lathyrus annuus
Cyphostethus tristriatus
Iberis pinnata
Parthenolecanium corni
Lathyrus heterophyllus
Paulownia tomentosa
Bistorta officinalis
Anax ephippiger
Ribautiana ulmi
Tingis crispata
Lasioglossum pallens
Acantholyda posticalis
Menacanthus stramineus
Euura testaceipes
Carex strigosa
Cucumis dipsaceus
Allium cepa
Pemphredon montana
Pulicaria arabica
Phoenicurus ochruros
Digitaria sanguinalis
Tingis ampliata
Aphis ulmariae
Acanthis hornemanni
Carex secalina
Alcea rosea
Chloriona glaucescens
Pieris napi
Panurus biarmicus
Hydaphias helvetica
Peripsocus alboguttatus
Cytisus striatus
Ceraclea fulva
Acrocephalus agricola
Achillea filipendulina
Linum austriacum
Ectopsocus axillaris
Liposthenes glechomae
Anas superciliosa
Carum carvi
Hypericum androsaemum
Ribautiana debilis
Oenothera deflexa
Helosciadium inundatum
Himantopus mexicanus
Coscoroba coscoroba
Bidens bipinnata
Stellaria media
Festuca pallens
Botrylloides violaceus
Lycaena phlaeas
Harpactus tumidus
Hyla meridionalis
Osmia cornuta
Crocus speciosus
Blysmus compressus
Gagea spathacea
Epipactis helleborine
Symphyotrichum salignum
Sagatus punctifrons
Anthriscus caucalis
Arenaria leptoclados
Hydrangea macrophylla
Ara severus
Kellia deltoidea
Mirabella albifrons
Homotherus locutor
Armadillidium vulgare
Nematus melanocephalus
Calypogeia fissa
Grus vipio
Acer negundo
Radix ovata
Bodilopsis rufus
Monochamus sartor
Priocnemis hyalinata
Calidris bairdii
Andrena ruficrus
Anser albifrons
Sphecodes spinulosus
Aporia crataegi
Psococerastis gibbosa
Acipenser baerii
Hieracium amplexicaule
Hayhurstia atriplicis
Exetastes adpressorius
Panicum capillare
Anemone hybrida
Actaea spicata
Carassius auratus
Pseudomuscari azureum
Tilia europaea
Gobius niger
Oenothera fallax
Aegithalos caudatus
Prunus domestica
Cephalaria gigantea
Carex pallescens
Ruditapes philippinarum
Miscophus ater
Galium tricornutum
Lathyrus japonicus
Neolygus viridis
Deuteroxorides elevator
Angaria delphinus
Zatypota bohemani
Deschampsia cespitosa
Rinodina griseosoralifera
Solanum pseudocapsicum
Anthidium manicatum
Festuca juncifolia
Euphrasia tetraquetra
Amandava subflava
Eutrigla gurnardus
Halictus subauratus
Agave americana
Fissidens adianthoides
Hemerocallis lilioasphodelus
Salvia reflexa
Elaphe taeniura
Orthotylus viridinervis
Galium verrucosum
Ornithopus sativus
Micarea denigrata
Capulus ungaricus
Nemoura avicularis
Scalaria foliacea
Kickxia elatine
Cruciata laevipes
Ilyocoris cimicoides
Rumex heterophyllus
Passaloecus gracilis
Brachygaster minutus
Lecidea plana
Ischnura senegalensis
Solanum pimpinellifolium
Hoplocampa flava
Stenichneumon militarius
Taphropeltus contractus
Brassica napus
Dolerus vestigialis
Utricularia intermedia
Crocus biflorus
Plantago lagopus
Malva maroccana
Tragopogon orientalis
Hedlundia hybrida
Isotrema durius
Lasioglossum laticeps
Zoarces viviparus
Rosa virginiana
Bombus barbutellus
Torilis japonica
Holocentropus picicornis
Zoropsis spinimana
Anoscopus flavostriatus
Aphrophora salicina
Chrysopa perla
Onoclea sensibilis
Tamarix gallica
Lepidium campestre
Euphrasia micrantha
Ephippiger ephippiger
Silene coronaria
Delphinium orientale
Gallinago media
Calystegia pulchra
Marmaronetta angustirostris
Anisus spirorbis
Ambigolimax valentianus
Apium nodiflorum
Ichneumon luteipes
Pterodroma feae
Gonionemus vertens
Sedum dasyphyllum
Amaranthus graecizans
Rana temporaria
Anthophora quadrimaculata
Larosterna inca
Asterobemisia carpini
Juncus balticus
Dicentrarchus labrax
Mimeuria ulmiphila
Stygnocoris fuligineus
Verbena urticifolia
Amaranthus spinosus
Tremulicerus vitreus
Pterocomma pilosum
Trifolium resupinatum
Cymatia coleoptrata
Iduna caligata
Megachile centuncularis
Phyllostachys sulphurea
Heuchera sanguinea
Tarentola mauritanica
Dactyloctenium aegyptium
Campsis radicans
Pentanema britannicum
Rumex sanguineus
Cacopsylla hippophaes
Neuroterus politus
Aulacaspis rosae
Cylichna cylindracea
Sabulina mediterranea
Brevicoryne brassicae
Vulpes lagopus
Crocothemis servilia
Pastinaca sativa
Brachypodium phoenicoides
Digitalis lanata
Scleranthus annuus
Clamator glandarius
Eupteryx thoulessi
Dolerus cothurnatus
Nymphaea candida
Gryllodes sigillatus
Attalea funifera
Mentha cervina
Martes foina
Luzula multiflora
Mycerobas icterioides
Ectobius lapponicus
Anthophora bimaculata
Angelica archangelica
Anas sibilatrix
Oenanthe lachenalii
Echinochloa oryzoides
Narcissus pseudonarcissus
Myriophyllum verticillatum
Macrosiphoniella oblonga
Amaranthus hypochondriacus
Modiola caroliniana
Orthodontium lineare
Psallus perrisi
Salix mollissima
Psallus flavellus
Lejeunea cavifolia
Brunnera macrophylla
Rhogogaster picta
Lygus wagneri
Viola sororia
Amblyraja hyperborea
Symphoricarpos chenaultii
Kleidocerys ericae
Salix eleagnos
Stenophylax sequax
Eupteryx tenella
Hylaeus confusus
Allantus cinctus
Dictamnus albus
Culicoides puncticollis
Lythrum salicaria
Thrips brevicornis
Atriplex laciniata
Cuscuta epithymum
Oxyura leucocephala
Cyrnus insolutus
Setaria sphacelata
Macrosteles lividus
Malva sylvestris
Cotoneaster villosulus
Anthocoris simulans
Icmadophila ericetorum
Bidens tripartita
Prunus cerasifera
Heterarthrus vagans
Andricus malpighii
Scutellaria galericulata
Thracia inflata
Geranium psilostemon
Cotoneaster zabelii
Chrysis inaequalis
Eriocampa ovata
Lampropeltis triangulum
Podalonia affinis
Legnotus limbosus
Glyceria fluitans
Montia fontana
Carcharodus alceae
Tetramoera langmaidi
Pomatoschistus microps
Aplidium glabrum
Chloephaga melanoptera
Clauzadeana macula
Arum maculatum
Trichoniscoides helveticus
Satureja montana
Ctenichneumon edictorius
Xylocoris galactinus
Diplotaxis muralis
Phedimus spurius
Anoplius infuscatus
Megalonotus praetextatus
Cirsium rivulare
Solanum nitidibaccatum
Stygnocoris sabulosus
Phaseolus vulgaris
Sympetrum depressiusculum
Myosurus minimus
Sciurus vulgaris
Potamogeton acutifolius
Ponticola kessleri
Lasius platythorax
Falco naumanni
Sedum hispanicum
Valerianella locusta
Diprion similis
Pamphilius sylvarum
Medicago monspeliaca
Koeleria glauca
Samolus valerandi
Lathyrus palustris
Coelichneumon deliratorius
Coelichneumon sinister
Pinus nigra
Erythronium dens-canis
Carex plantaginea
Cabomba caroliniana
Micronecta scholtzi
Poa pratensis
Stagonomus bipunctatus
Limothrips denticornis
Corixa affinis
Rubus loehrii
Spergula morisonii
Oenothera stricta
Amaranthus powellii x retroflexus
Circus cyaneus
Carex divulsa
Corvus albus
Phylloscopus schwarzi
Carex nigra
Armadillidium album
Digitalis lutea
Aphis epilobiaria
Salvia nemorosa
Carex timmiana
Myzus antirrhinii
Gilpinia hercyniae
Ranunculus sceleratus
Aedes vexans
Achaius oratorius
Hypericum pulchrum
Meconema meridionale
Senecio viscosus
Arctium minus
Chrysemys picta
Acrocephalus palustris
Chaenostoma cordatum
Agramma laetum
Echium plantagineum
Zele chlorophthalmus
Peripsocus subfasciatus
Tropidosteptes pacificus
Catalpa ovata
Attacus atlas
Cardinalis cardinalis
Beosus maritimus
Asperula cynanchica
Plea minutissima
Tenthredo marginella
Pontania virilis
Nemoura marginata
Sassafras albidum
Amaranthus emarginatus
Haematopus ostralegus
Eurydema oleracea
Lanius isabellinus
Anser albifrons x Branta leucopsis
Erythria aureola
Orthotylus moncreaffi
Cyclachaena xanthiifolia
Agrypnia obsoleta
Chen rossii
Oecobius navus
Halidamia affinis
Hypericum tetrapterum
Ferrissia californica
Trypoxylon minus
Lasallia pustulata
Sagina micropetala
Subilla confinis
Cratichneumon flavifrons
Teesdalia nudicaulis
Stenamma debile
Melia azedarach
Brachystomia carrozzai
Caliroa cerasi
Andrena fucata
Carex trinervis
Carpocoris fuscispinus
Priocnemis parvula
Jaltomata procumbens
Sialis lutaria
Deraeocoris cordiger
Pterocomma rufipes
Osmia niveata
Dichrooscytus rufipennis
Colletes hederae
Ameles decolor
Tenthredo koehleri
Lachnagrostis filiformis
Pulmonaria mollis
Digitalis ferruginea
Regulus regulus
Neopycnodonte cochlear
Nomada alboguttata
Crocothemis erythraea
Lunaria rediviva
Prociphilus fraxini
Venus casina
Hypopitys monotropa
Pungitius pungitius
Impatiens capensis
Hemigrapsus sanguineus
Culiseta annulata
Lysimachia tenella
Ornithogalum divergens
Poa compressa
Oxybasis chenopodioides
Zamenis longissimus
Ziziphus lotus
Andrena ventralis
Empicoris vagabundus
Stylops nevinsoni
Lymantrichneumon disparis
Trioza centranthi
Aphrodes bicinctus
Tenthredo scrophulariae
Orobanche hederae
Cerceris rybyensis
Centrotus cornuta
Arabis procurrens
Hydrelia sylvata
Gerris odontogaster
Parthenothrips dracaenae
Phoenicurus phoenicurus
Ranunculus aquatilis
Dipsacus sativus
Accipiter gentilis
Gavia stellata
Melica altissima
Limotettix striola
Dianthus caryophyllus
Conostethus venustus
Muscari armeniacum
Carex pseudocyperus
Torilis africana
Lycopus europaeus
Stephanitis oberti
Clinopodium nepeta
Amphigerontia contaminata
Calystegia sepium
Atriplex patula
Rhopalum coarctatum
Neotoxoptera formosana
Lamium purpureum
Lasioglossum parvulum
Sempervivum arachnoideum
Tenthredo maculata
Gilia capitata
Nigella sativa
Aleiodes dissector
Cacopsylla fulguralis
Galium parisiense
Dimorphopterus spinolae
Trifolium angustifolium
Tanacetum balsamita
Tupiocoris rhododendri
Caracara plancus
Coniopteryx borealis
Latrodectus hasselti
Buteo auguralis
Oenothera angustissima
Edwardsiana avellanae
Chaerophyllum bulbosum
Juncus subnodulosus
Tinodes unicolor
Acipenser gueldenstaedtii
Alebra wahlbergi
Oenanthe deserti
Tenthredo notha
Caenis pseudorivulorum
Hebrus pusillus
Macrophya teutona
Soleirolia soleirolii
Aricia agestis
Medicago falcata
Avenula pubescens
Tuberculatus borealis
Allantus togatus
Agonimia vouauxii
Spergularia bocconei
Commelina communis
Anastomus lamelligerus
Tricellaria inopinata
Hypericum elodes
Carex vesicaria
Blastobasis adustella
Coturnix coturnix
Saxifraga granulata
Cribraria aurantiaca
Erucastrum gallicum
Populus nigra
Thymelicus lineola
Pomatoschistus minutus
Nematus leucotrochus
Heteranomia squamula
Potamogeton obtusifolius
Sargassum muticum
Scolioneura vicina
Neodiprion sertifer
Gargara genistae
Tuta absoluta
Perdix perdix
Tauraco leucotis
Plagiomnium undulatum
Tellina benedeni
Poicephalus senegalus
Hordeum vulgare
Cyclas depressa
Veronica spicata
Cucurbita moschata
Chelydra serpentina
Lasius neglectus
Sonchus asper
Diplolepis spinosissimae
Beraeodes minutus
Cylisticus convexus
Stercorarius skua
Cerastium semidecandrum
Cyaniris semiargus
Tetrix kraussi
Epipactis atrorubens
Melilotus sulcatus
Clistopyga incitator
Sisymbrium irio
Pediculus humanus
Trifolium medium
Hesperocorixa castanea
Natrix maura
Ectobius pallidus
Alectoris chukar
Nabis lineatus
Dysaphis crithmi
Bromus sitchensis
Allium ampeloprasum
Chelidurella acanthopygia
Anthus hodgsoni
Coreus marginatus
Macrosiphoniella absinthii
Delphinium elatum
Eurhadina ribauti
Tenthredo atra
Hippuris vulgaris
Ectemnius lituratus
Eptesicus fuscus
Coenagrion hastulatum
Chrysochraon dispar
Lepidium latifolium
Genista sagittalis
Gallus gallus
Macrophya blanda
Chrysis fulgida
Undaria pinnatifida
Macrosteles ossiannilssoni
Misopates orontium
Omalus puncticollis
Canna generalis
Agrimonia eupatoria
Andricus legitimus
Citrullus lanatus
Chenopodium quinoa
Lepus europaeus
Dicranocephalus agilis
Trifolium dubium
Psallus betuleti
Celtis australis
Bombus pascuorum
Sphagnum cuspidatum
Gutenbergia rueppellii
Lomelosia stellata
Limnephilus stigma
Tripleurospermum maritimum
Cotoneaster simonsii
Muscari latifolium
Alchemilla filicaulis
Rhinanthus fallax
Cotoneaster salicifolius
Anthoxanthum aristatum
Eupteryx vittata
Tsuga canadensis
Ulmus glabra
Typha angustifolia
Pediaspis aceris
Cribraria vulgaris
Dosinia exoleta
Rheum hybridum
Pyrrhura molinae
Apera interrupta
Chromaphis juglandicola
Solanum triflorum
Phuopsis stylosa
Rubus spectabilis
Xiphydria prolongata
Thymelicus sylvestris
Hydrometra stagnorum
Scilla forbesii × luciliae
Diplodonta astartea
Hyperoplus lanceolatus
Lactuca virosa
Monochamus galloprovincialis
Heliconius hecale
Dasiphora fruticosa
Stemonitis axifera
Metallus albipes
Raphidia ophiopsis
Myagrum perfoliatum
Dianthus giganteus
Uroleucon hypochoeridis
Andrena ovatula
Calamagrostis arundinacea
Andrena lapponica
Auplopus carbonarius
Anthus spinoletta
Stictopleurus punctatonervosus
Tadorna tadornoides
Ficedula hypoleuca
Carex scoparia
Ceruraphis eriophori
Rorippa anceps
Platanus hybrida
Aubrieta columnae
Myrmica specioides
Vicia parviflora
Alebra coryli
Limosa limosa
Leptophlebia marginata
Drymosiphon grandiflorus
Liposcelis silvarum
Arabis hirsuta
Carex melanostachya
Sonchus glaucescens
Saldula palustris
Anoda cristata
Spanioneura fonscolombii
Nomada goodeniana
Junonia iphita
Rubus adspersus
Jassargus pseudocellaris
Juncus capitatus
Culicoides impunctatus
Bidens vulgata
Allium scorodoprasum
Corydalis solida
Catillaria nigroclavata
Anoscopus histrionicus
Melopsittacus undulatus
Arisaema dracontium
Rhyparochromus pini
Saxifraga arendsii
Leptinella squalida
Natica catenoides
Rattus norvegicus
Lagarosiphon major
Lasius umbratus
Oenothera fruticosa
Dicyphus pallidus
Euphorbia myrsinites
Alyssum alyssoides
Ostrea navicularis
Rhodaphodius foetens
Struebingianella lugubrina
Convallaria majalis
Crataegus persimilis
Chlamydatus evanescens
Monophadnus spinolae
Pelecanus rufescens
Anoplius concinnus
Thymus pulegioides
Tyto alba
Digitaria digitaria
Hemimysis anomala
Phytocoris reuteri
Heterarthrus aceris
Cadra cautella
Anemone ranunculoides
Rubus camptostachys
Potamogeton bennettii
Fenusella nana
Conocephalum conicum
Lobelia dortmanna
Anopheles daciae
Lysimachia arvensis
Monarda didyma
Pagellus erythrinus
Neogobius fluviatilis
Pimpla insignatoria
Juncus minutulus
Dicranum bonjeanii
Chirothrips manicatus
Trigonella procumbens
Tremex fuscicornis
Vicia grandiflora
Atractotomus mali
Centaurea stoebe
Diadromus collaris
Armadillidium pulchellum
Cynosurus echinatus
Amauronematus amplus
Dolerus gonager
Pectinatella magnifica
Trypoxylon clavicerum
Heliotropium europaeum
Andrena viridescens
Bombus vestalis
Anas hottentota
Orientus ishidae
Epilobium obscurum
Dryudella stigma
Pinus wallichiana
Sylvia borin
Trichophorum cespitosum
Macrosteles cyane
Hydrobates pelagicus
Spiraea salicifolia
Stigmus pendulus
Lasioglossum punctatissimum
Oxybelus quatuordecimnotatus
Pealius quercus
Orius laticollis
Hoplocampa minuta
Cotoneaster suecicus
Alkekengi officinarum
Chenopodium probstii
Delphax pulchellus
Carpinus betulus
Hyloniscus riparius
Cosmos sulphureus
Iris foetidissima
Sphecodes crassus
Amazonetta brasiliensis
Thalasseus sandvicensis
Macrosteles quadripunctulatus
Panaphis juglandis
Thymus pulegioides × serpyllum
Aurinia saxatilis
Hydrocotyle verticillata
Spilopelia senegalensis
Myrmica sabuleti
Liquidambar styraciflua
Cratichneumon viator
Papaver setiferum
Nassarius reticosus
Silene nutans
Peritrechus lundi
Anoscopus albifrons
Neptunea despecta
Digitaria ciliaris
Atherina boyeri
Megachile lapponica
Thelaxes dryophila
Mystacides longicornis
Mulinia lateralis
Euphorbia epithymoides
Eruca vesicaria
Leuciscus leuciscus
Stenobothrus stigmaticus
Anoecia furcata
Potamogeton natans
Ensis complanatus
Megachile leachella
Aphis loti
Fumaria capreolata
Althaea officinalis
Ptelea trifoliata
Crossocerus dimidiatus
Carex oederi
Cimbex connatus
Nematus ribesii
Senecio hercynicus
Diplophyllum albicans
Actias selene
Lonicera japonica
Eurhadina pulchella
Galatella linosyris
Trachinus draco
Calamoncosis glyceriae
Sonchus maritimus
Haloscatella dichaeta
Procassidulus lapiscancri
Andrena synadelpha
Geranium versicolor
Nemophila maculata
Lygus rugulipennis
Lysimachia fortunei
Lepidium bonariense
Clethra alnifolia
Acridotheres ginginianus
Limerodops elongatus
Ametastegia glabrata
Teuchophorus simplex
Phobetes atomator
Silene baccifera
Fumaria vaillantii
Conringia planisiliqua
Rhagoletis cingulata
Astarte obliquata
Sylvia cantillans
Micarea melaena
Helianthus decapetalus
Polycentropus flavomaculatus
Gavia arctica
Herniaria glabra
Gymnadenia densiflora
Deraeocoris ruber
Micropyrum tenellum
Istiophorus albicans
Dolerus ferrugatus
Limonium sinuatum
Proasellus coxalis
Fatshedera lizei
Tingis pilosa
Blackstonia perfoliata
Scophthalmus maximus
Anthocoris nemoralis
Rubus oreades
Elodea nuttallii
Oriolus oriolus
Erigeron sumatrensis
Rubus praetextus
Polystichum polyblepharum
Carex boenninghausiana
Medicago scutellata
Lupinus albus
Trifolium pratense
Tamarix africana
Sympetrum fonscolombii
Agonus cataphractus
Andromeda polifolia
Monosynamma bohemanni
Mimachlamys varia
Gracupica nigricollis
Ametastegia pallipes
Rhyzopertha dominica
Nabis brevis
Verbascum thapsus
Sparganium emersum
Kali tragus
Crossocerus exiguus
Alydus calcaratus
Stranvaesia davidiana
Daphnia ambigua
Bidens connata
Aglaostigma aucupariae
Colchicum autumnale
Saldula arenicola
Agraylea multipunctata
Anser serrirostris
Ranunculus acris
Pilosella bauhini
Testudo hermanni
Ribautiana scalaris
Mercurialis annua
Corixa panzeri
Thermopsis montana
Veronica longifolia
Populus tremula
Schoenoplectus kuekenthalianus
Hesperocorixa sahlbergi
Equisetum scirpoides
Bombina orientalis
Aphis farinosa
Helianthus salicifolius
Epeolus variegatus
Allium roseum
Rubus grabowskii
Pimpinella major
Pholas dactylus
Megachile pilidens
Aeshna affinis
Tetrax tetrax
Veronica serpyllifolia
Acer saccharinum
Eumenes papillarius
Dicranocephalus medius
Turritella incrassata
Palaemon serratus
Noccaea perfoliata
Protonemura risi
Plagiothecium cavifolium
Lecidea lithophila
Plagiochila asplenioides
Psectra diptera
Pilosella aurantiaca
Inula racemosa
Aethusa cynapium
Alburnus alburnus
Salix calodendron
Nicotiana tabacum
Dysaphis anthrisci
Samia cynthia
Humulus lupulus
Physocarpus opulifolius
Malvastrum americanum
Strix aluco
Trachycarpus fortunei
Syspasis albiguttata
Uria aalge
Prunus serrulata
Tenthredo brevicornis
Nomada similis
Talochlamys multistriata
Neuroterus tricolor
Pulvinaria vitis
Salix viminalis
Thecabius lysimachiae
Trichorhina tomentosa
Cernuella cisalpina
Agrypon flaveolatum
Chaitophorus capreae
Haliaeetus pelagicus
Sepia officinalis
Cyrnus crenaticornis
Alebra neglecta
Craesus septentrionalis
Dreissena polymorpha
Hepatica nobilis
Camponotus vagus
Ceratophyllus gallinae
Botaurus stellaris
Ficaria verna
Scandosorbus intermedia
Fagocyba cruenta
Mantis religiosa
Botrylloides diegensis
Antennaria dioica
Gelis bicolor
Salvia verticillata
Lachesilla pedicularia
Brachycarenus tigrinus
Lathyrus pratensis
Cacyreus marshalli
Mentha piperita
Potentilla suberecta
Isoperla grammatica
Pedicularis sylvatica
Potentilla argyrophylla
Cornus alba
Artemisia mongolica
Pelophylax ridibundus
Matricaria discoidea
Vaccinium myrtillus
Ornithopus perpusillus
Lysimachia minima
Euphorbia falcata
Teuchestes fossor
Epilobium ciliatum
Rhyparochromus phoeniceus
Luzula luzuloides
Crossocerus elongatulus
Prorhynchus stagnalis
Cydonia oblonga
Miscophus spurius
Platanus occidentalis
Hebata vitis
Anthriscus cerefolium
Pterocarya pterocarpa
Roxania utriculus
Campanula fenestrellata
Megastigmus aculeatus
Frankliniella intonsa
Nomada guttulata
Eutrochium purpureum
Pecten radians
Parietaria officinalis
Nomada villosa
Cyperus rotundus
Tachybaptus tricolor
Hepiopelmus variegatorius
Utamphorophora crataegi
Juncus montserratensis
Anthoxanthum nitens
Priocnemis fennica
Gamochaeta coarctata
Rubus bifrons
Oecetis furva
Aesculus parviflora
Calameuta pallipes
Sasaella ramosa
Delichon urbicum x Hirundo rustica
Limanda limanda
Lonicera chrysantha
Laurus nobilis
Rubus ubericus
Drabella muralis
Culicoides nubeculosus
Helianthus petiolaris
Betula aurata
Periplaneta americana
Ononis spinosa
Viburnum opulus
Coptosoma scutellatum
Cota austriaca
Uroleucon campanulae
Vallisneria australis
Acrossus rufipes
Phyllocolpa leucosticta
Papaver commutatum
Rubus laciniatus
Idiocerus vicinus
Perovskia abrotanoides x Perovskia atriplicifolia
Agastache rugosa
Hartigia linearis
Schkuhria pinnata
Pyrus pyraster
Mimesa lutaria
Lotus corniculatus
Anthemis ruthenica
Pelophylax bedriagae
Lepidium schinzii
Aneugmenus coronatus
Culiseta fumipennis
Aleyrodes lonicerae
Bistorta affinis
Callosobruchus maculatus
Crossocerus wesmaeli
Linum tenuifolium
Nematus tibialis
Carex grayi
Rubus anglobelgicus
Narcissus jonquilla
Leptocerus tineiformis
Trapezonotus dispar
Raja brachyura
Polygala serpyllifolia
Adelphocoris quadripunctatus
Mimumesa atratina
Anas formosa
Balearica regulorum
Philotarsus parviceps
Pecten complanatus
Cotoneaster fruticosus
Kelisia sabulicola
Psittacula cyanocephala
Bromus arvensis
Phanacis hypochoeridis
Alchemilla xanthochlora
Aythya marila
Astata minor
Molannodes tinctus
Oncopsis tristis
Tenthredo mandibularis
Chilothorax distinctus
Juncus xiphioides
Hypericum olympicum
Pelecanus conspicillatus
Trifolium subterraneum
Tenthredo temula
Sigesbeckia jorullensis
Glyceria pedicellata
Nomada ruficornis
Aradus cinnamomeus
Adelges laricis
Culicoides chiopterus
Lamprotornis chalybaeus
Clematis viticella
Pyramidella laeviuscula
Meriones unguiculatus
Cyprinus carpio
Haliaeetus vocifer
Hyledelphax elegantulus
Culicoides festivipenis
Hylaeus punctatus
Spilostethus pandurus
Lecanora saligna
Cerastium biebersteinii
Nabis ericetorum
Exephanes ischioxanthus
Leucaspius delineatus
Oronotus binotatus
Parna apicalis
Amblytylus albidus
Spilothyrateles nuptatorius
Culicoides pseudoheliophilus
Limonium gerberi
Heptagenia flava
Jynx torquilla
Dendrocygna bicolor
Typha glauca
Polygonum arenarium
Cotoneaster horizontalis
Latrodectus mactans
Chenopodium berlandieri
Polypodium interjectum
Corbicula fluminalis
Ceraclea senilis
Onthophagus similis
Entelurus aequoreus
Xorides rufipes
Oxycarenus modestus
Coreopsis verticillata
Charadrius morinellus
Eumenes coarctatus
Sedum sarmentosum
Visnaga daucoides
Salix caprea
Serratula tinctoria
Halictus tumulorum
Picea abies
Lagurus ovatus
Aegypius monachus
Brachypodium distachyon
Rubus serpens
Erzaleus metrius
Poa annua
Scophthalmus rhombus
Solanum dulcamara
Papaver lecoqii
Chrysis bicolor
Lindenius pygmaeus
Ranunculus penicillatus
Aedes sticticus
Psallus salicis
Bombus jonellus
Limnanthes douglasii
Linaria flavirostris
Holodiscus discolor
Polypodium vulgare
Kali turgidum
Tinca tinca
Gentianella uliginosa
Nesoselandria morio
Saponaria officinalis
Phalaropus lobatus
Anthemis arvensis
Dumetella carolinensis
Cicendia filiformis
Hippocampus hippocampus
Cerastium pumilum
Carex panicea
Aedes caspius
Clarkia amoena
Proasellus meridianus
Aquilegia vulgaris
Andrena fulva
Myosotis arvensis
Festuca rubra
Nineta pallida
Streptanus sordidus
Chenopodium opulifolium
Clematis montana
Odobenus rosmarus
Culicoides scoticus
Cota tinctoria
Prunus cerasus
Rosa canina
Ametastegia equiseti
Andrena nigriceps
Liparis loeselii
Alauda arvensis
Trachelipus rathkii
Rutilus rutilus
Euphorbia maculata
Sorbaria sorbifolia
Rumex kerneri
Comatricha laxa
Bromus japonicus
